country_name,log_coef,se,ci95_low_log,ci95_high_log,pct_vs_native,pct_ci95_low,pct_ci95_high,significant_5pct
India,0.2898,0.0099,0.2705,0.3091,33.6,31.1,36.2,yes
United Kingdom,0.2014,0.0111,0.1797,0.2231,22.3,19.7,25.0,yes
Canada,0.1742,0.0092,0.1562,0.1921,19.0,16.9,21.2,yes
Former USSR / Russia,0.1187,0.0161,0.0871,0.1503,12.6,9.1,16.2,yes
China,0.1035,0.0166,0.0709,0.1361,10.9,7.4,14.6,yes
Italy,0.0966,0.0178,0.0618,0.1314,10.1,6.4,14.0,yes
Korea,0.0353,0.0195,-0.003,0.0736,3.6,-0.3,7.6,no
Japan,0.0349,0.0083,0.0186,0.0513,3.6,1.9,5.3,yes
Germany,0.0221,0.0063,0.0097,0.0345,2.2,1.0,3.5,yes
Poland,0.0167,0.0073,0.0024,0.0311,1.7,0.2,3.2,yes
Vietnam,0.0051,0.0156,-0.0255,0.0358,0.5,-2.5,3.6,no
Philippines,-0.002,0.0083,-0.0183,0.0142,-0.2,-1.8,1.4,no
Africa (region),-0.1013,0.0106,-0.122,-0.0806,-9.6,-11.5,-7.7,yes
Central America (region),-0.1159,0.0069,-0.1294,-0.1024,-10.9,-12.1,-9.7,yes
West Indies (region),-0.1205,0.0054,-0.131,-0.1101,-11.4,-12.3,-10.4,yes
Cuba,-0.1372,0.018,-0.1725,-0.1019,-12.8,-15.8,-9.7,yes
South America (region),-0.141,0.0089,-0.1585,-0.1235,-13.1,-14.7,-11.6,yes
Mexico,-0.1501,0.0064,-0.1627,-0.1375,-13.9,-15.0,-12.8,yes
